CustomerID,Lookalikes
C0001,"[('C0035', 0.959), ('C0055', 0.949), ('C0120', 0.939)]"
C0002,"[('C0134', 0.917), ('C0159', 0.904), ('C0106', 0.873)]"
C0003,"[('C0031', 0.993), ('C0158', 0.987), ('C0189', 0.966)]"
C0004,"[('C0122', 0.951), ('C0113', 0.947), ('C0194', 0.941)]"
C0005,"[('C0007', 0.989), ('C0197', 0.887), ('C0140', 0.884)]"
C0006,"[('C0187', 0.963), ('C0185', 0.93), ('C0169', 0.922)]"
C0007,"[('C0005', 0.989), ('C0146', 0.874), ('C0197', 0.873)]"
C0008,"[('C0059', 0.86), ('C0113', 0.835), ('C0154', 0.823)]"
C0009,"[('C0198', 0.932), ('C0033', 0.876), ('C0058', 0.872)]"
C0010,"[('C0061', 0.95), ('C0030', 0.876), ('C0176', 0.871)]"
C0011,"[('C0126', 0.973), ('C0191', 0.934), ('C0153', 0.927)]"
C0012,"[('C0104', 0.962), ('C0113', 0.929), ('C0004', 0.929)]"
C0013,"[('C0067', 0.95), ('C0016', 0.942), ('C0183', 0.94)]"
C0014,"[('C0060', 0.999), ('C0097', 0.933), ('C0110', 0.928)]"
C0015,"[('C0151', 0.968), ('C0036', 0.94), ('C0071', 0.939)]"
C0016,"[('C0183', 1.0), ('C0107', 0.982), ('C0013', 0.942)]"
C0017,"[('C0075', 0.938), ('C0041', 0.875), ('C0004', 0.874)]"
C0018,"[('C0168', 0.96), ('C0057', 0.902), ('C0148', 0.898)]"
C0019,"[('C0070', 0.915), ('C0064', 0.821), ('C0191', 0.803)]"
C0020,"[('C0130', 0.983), ('C0095', 0.929), ('C0151', 0.92)]"
